id,trial,subject_id,cond1,cond2,cond3,cond4,cond5,gender,age,specialty,degree,practice_type,years_practice,hours,responder,dv,cond
1,1,103,OTC unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,male,47,Family medicine,MD,Private,14,36,responders,0,0
1,2,103,OTC unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,male,47,Family medicine,MD,Private,14,36,responders,1,0
1,3,103,OTC unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,male,47,Family medicine,MD,Private,14,36,responders,0,0
1,4,103,OTC unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,male,47,Family medicine,MD,Private,14,36,responders,0,0
1,5,103,OTC unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,male,47,Family medicine,MD,Private,14,36,responders,0,0
1,6,103,OTC unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,male,47,Family medicine,MD,Private,14,36,responders,0,0
1,7,103,OTC unpacked,Narrow unpacked,grouping on top,OTC block first,regular ordering,male,47,Family medicine,MD,Private,14,36,responders,0,0
2,1,105,OTC unpacked,Broad unpacked,grouping on bottom,OTC block first,reverse ordering,male,40,Family medicine,MD,Private,12,50,responders,0,0
2,2,105,OTC unpacked,Broad unpacked,grouping on bottom,OTC block first,reverse ordering,male,40,Family medicine,MD,Private,12,50,responders,0,0
2,3,105,OTC unpacked,Broad unpacked,grouping on bottom,OTC block first,reverse ordering,male,40,Family medicine,MD,Private,12,50,responders,0,0
2,4,105,OTC unpacked,Broad unpacked,grouping on bottom,OTC block first,reverse ordering,male,40,Family medicine,MD,Private,12,50,responders,1,1
2,5,105,OTC unpacked,Broad unpacked,grouping on bottom,OTC block first,reverse ordering,male,40,Family medicine,MD,Private,12,50,responders,0,1
2,6,105,OTC unpacked,Broad unpacked,grouping on bottom,OTC block first,reverse ordering,male,40,Family medicine,MD,Private,12,50,responders,0,1
2,7,105,OTC unpacked,Broad unpacked,grouping on bottom,OTC block first,reverse ordering,male,40,Family medicine,MD,Private,12,50,responders,0,1
3,1,106,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block second,regular ordering,female,33,Family medicine,MD,Private,2,32,responders,0,1
3,2,106,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block second,regular ordering,female,33,Family medicine,MD,Private,2,32,responders,1,1
3,3,106,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block second,regular ordering,female,33,Family medicine,MD,Private,2,32,responders,0,1
3,4,106,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block second,regular ordering,female,33,Family medicine,MD,Private,2,32,responders,1,1
3,5,106,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block second,regular ordering,female,33,Family medicine,MD,Private,2,32,responders,1,1
3,6,106,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block second,regular ordering,female,33,Family medicine,MD,Private,2,32,responders,1,1
3,7,106,Antibiotics unpacked,Broad unpacked,grouping on bottom,OTC block second,regular ordering,female,33,Family medicine,MD,Private,2,32,responders,1,1
4,1,108,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,reverse ordering,male,43,Family medicine,MD,Private,13,50,responders,0,1
4,2,108,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,reverse ordering,male,43,Family medicine,MD,Private,13,50,responders,0,1
4,3,108,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,reverse ordering,male,43,Family medicine,MD,Private,13,50,responders,0,1
4,4,108,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,reverse ordering,male,43,Family medicine,MD,Private,13,50,responders,0,0
4,5,108,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,reverse ordering,male,43,Family medicine,MD,Private,13,50,responders,1,0
4,6,108,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,reverse ordering,male,43,Family medicine,MD,Private,13,50,responders,1,0
4,7,108,Antibiotics unpacked,Narrow unpacked,grouping on bottom,OTC block first,reverse ordering,male,43,Family medicine,MD,Private,13,50,responders,0,0
5,1,110,OTC unpacked,Broad unpacked,grouping on top,OTC block first,reverse ordering,male,52,Family medicine,MD,Private,24,50,responders,0,0
5,2,110,OTC unpacked,Broad unpacked,grouping on top,OTC block first,reverse ordering,male,52,Family medicine,MD,Private,24,50,responders,1,0
5,3,110,OTC unpacked,Broad unpacked,grouping on top,OTC block first,reverse ordering,male,52,Family medicine,MD,Private,24,50,responders,0,0
5,4,110,OTC unpacked,Broad unpacked,grouping on top,OTC block first,reverse ordering,male,52,Family medicine,MD,Private,24,50,responders,1,1
